date,1. open,2. high,3. low,4. close,5. volume
2019-03-05 10:35:00,9.6,9.6,9.6,9.6,395.0
2019-03-05 10:38:00,9.6,9.6,9.6,9.6,800.0
2019-03-05 10:40:00,9.6,9.6,9.6,9.6,110.0
2019-03-05 10:43:00,9.56,9.56,9.56,9.56,915.0
2019-03-05 10:44:00,9.52,9.52,9.52,9.52,1578.0
2019-03-05 10:45:00,9.5545,9.5545,9.5545,9.5545,2390.0
2019-03-05 10:46:00,9.53,9.53,9.53,9.53,2036.0
2019-03-05 10:49:00,9.52,9.52,9.52,9.52,360.0
2019-03-05 10:56:00,9.46,9.52,9.46,9.52,377.0
2019-03-05 11:02:00,9.465,9.465,9.465,9.465,150.0
2019-03-05 11:04:00,9.41,9.41,9.41,9.41,101.0
2019-03-05 11:10:00,9.41,9.41,9.41,9.41,200.0
2019-03-05 11:12:00,9.465,9.465,9.465,9.465,300.0
2019-03-05 11:13:00,9.465,9.465,9.465,9.465,123.0
2019-03-05 11:15:00,9.41,9.41,9.41,9.41,500.0
2019-03-05 11:16:00,9.41,9.41,9.41,9.41,1169.0
2019-03-05 11:18:00,9.465,9.465,9.465,9.465,449.0
2019-03-05 11:20:00,9.44,9.44,9.44,9.44,302.0
2019-03-05 11:21:00,9.4663,9.4663,9.4663,9.4663,280.0
2019-03-05 11:25:00,9.44,9.44,9.44,9.44,1100.0
2019-03-05 11:27:00,9.44,9.44,9.44,9.44,500.0
2019-03-05 11:28:00,9.44,9.44,9.44,9.44,400.0
2019-03-05 11:29:00,9.44,9.44,9.44,9.44,325.0
2019-03-05 11:31:00,9.44,9.44,9.44,9.44,153.0
2019-03-05 11:32:00,9.44,9.44,9.44,9.44,673.0
2019-03-05 11:35:00,9.445,9.445,9.445,9.445,250.0
2019-03-05 11:39:00,9.445,9.445,9.445,9.445,102.0
2019-03-05 11:41:00,9.445,9.445,9.445,9.445,254.0
2019-03-05 11:46:00,9.445,9.445,9.445,9.445,200.0
2019-03-05 11:48:00,9.445,9.445,9.445,9.445,300.0
2019-03-05 11:49:00,9.42,9.42,9.42,9.42,102.0
2019-03-05 11:52:00,9.445,9.445,9.445,9.445,100.0
2019-03-05 11:54:00,9.421,9.421,9.421,9.421,238.0
2019-03-05 11:58:00,9.445,9.445,9.445,9.445,200.0
2019-03-05 12:02:00,9.425,9.425,9.425,9.425,200.0
2019-03-05 12:05:00,9.445,9.445,9.445,9.445,340.0
2019-03-05 12:07:00,9.43,9.43,9.43,9.43,201.0
2019-03-05 12:09:00,9.425,9.425,9.425,9.425,1300.0
2019-03-05 12:10:00,9.4225,9.4225,9.4225,9.4225,1729.0
2019-03-05 12:11:00,9.4225,9.4225,9.4225,9.4225,656.0
2019-03-05 12:13:00,9.425,9.425,9.42,9.42,2300.0
2019-03-05 12:19:00,9.425,9.425,9.425,9.425,100.0
2019-03-05 12:22:00,9.4225,9.4225,9.4225,9.4225,501.0
2019-03-05 12:26:00,9.425,9.425,9.425,9.425,201.0
2019-03-05 12:29:00,9.42,9.42,9.42,9.42,100.0
2019-03-05 12:33:00,9.425,9.425,9.425,9.425,402.0
2019-03-05 12:40:00,9.425,9.425,9.425,9.425,200.0
2019-03-05 12:42:00,9.42,9.4225,9.42,9.4225,209.0
2019-03-05 12:47:00,9.425,9.425,9.425,9.425,300.0
2019-03-05 12:49:00,9.42,9.425,9.42,9.425,1434.0
2019-03-05 12:52:00,9.42,9.42,9.42,9.42,600.0
2019-03-05 12:55:00,9.42,9.4225,9.42,9.4225,1409.0
2019-03-05 12:58:00,9.4225,9.4225,9.4225,9.4225,801.0
2019-03-05 13:06:00,9.425,9.425,9.425,9.425,100.0
2019-03-05 13:08:00,9.42,9.42,9.42,9.42,100.0
2019-03-05 13:11:00,9.425,9.425,9.425,9.425,100.0
2019-03-05 13:14:00,9.425,9.425,9.425,9.425,200.0
2019-03-05 13:15:00,9.425,9.425,9.425,9.425,700.0
2019-03-05 13:20:00,9.42,9.42,9.42,9.42,300.0
2019-03-05 13:22:00,9.425,9.425,9.425,9.425,200.0
2019-03-05 13:23:00,9.4225,9.4225,9.4225,9.4225,102.0
2019-03-05 13:25:00,9.4219,9.4219,9.4219,9.4219,126.0
2019-03-05 13:27:00,9.4225,9.4225,9.4225,9.4225,1900.0
2019-03-05 13:28:00,9.425,9.425,9.425,9.425,202.0
2019-03-05 13:31:00,9.42,9.42,9.42,9.42,395.0
2019-03-05 13:32:00,9.42,9.42,9.42,9.42,100.0
2019-03-05 13:34:00,9.42,9.42,9.42,9.42,1300.0
2019-03-05 13:39:00,9.425,9.425,9.425,9.425,100.0
2019-03-05 13:40:00,9.425,9.425,9.425,9.425,200.0
2019-03-05 13:41:00,9.425,9.425,9.425,9.425,101.0
2019-03-05 13:45:00,9.425,9.425,9.425,9.425,100.0
2019-03-05 13:47:00,9.425,9.425,9.42,9.42,301.0
2019-03-05 13:52:00,9.425,9.425,9.425,9.425,400.0
2019-03-05 13:59:00,9.425,9.425,9.4225,9.4225,2403.0
2019-03-05 14:02:00,9.42,9.42,9.42,9.42,490.0
2019-03-05 14:05:00,9.425,9.425,9.425,9.425,143.0
2019-03-05 14:08:00,9.42,9.42,9.42,9.42,137.0
2019-03-05 14:11:00,9.425,9.425,9.425,9.425,863.0
2019-03-05 14:14:00,9.42,9.42,9.42,9.42,300.0
2019-03-05 14:18:00,9.425,9.425,9.42,9.42,300.0
2019-03-05 14:21:00,9.42,9.42,9.42,9.42,100.0
2019-03-05 14:27:00,9.42,9.42,9.42,9.42,104.0
2019-03-05 14:31:00,9.425,9.425,9.425,9.425,2400.0
2019-03-05 14:32:00,9.425,9.425,9.425,9.425,308.0
2019-03-05 14:36:00,9.425,9.425,9.425,9.425,400.0
2019-03-05 14:38:00,9.42,9.42,9.42,9.42,198.0
2019-03-05 14:40:00,9.425,9.425,9.425,9.425,102.0
2019-03-05 14:42:00,9.425,9.425,9.425,9.425,200.0
2019-03-05 14:47:00,9.4225,9.4225,9.4225,9.4225,100.0
2019-03-05 14:49:00,9.42,9.42,9.42,9.42,900.0
2019-03-05 14:50:00,9.42,9.42,9.42,9.42,500.0
2019-03-05 14:53:00,9.425,9.425,9.425,9.425,428.0
2019-03-05 14:58:00,9.425,9.425,9.425,9.425,765.0
2019-03-05 15:00:00,9.42,9.42,9.42,9.42,203.0
2019-03-05 15:01:00,9.42,9.42,9.42,9.42,100.0
2019-03-05 15:03:00,9.42,9.42,9.42,9.42,100.0
2019-03-05 15:04:00,9.425,9.425,9.425,9.425,102.0
2019-03-05 15:06:00,9.42,9.42,9.42,9.42,597.0
2019-03-05 15:08:00,9.42,9.42,9.42,9.42,106.0
2019-03-05 15:09:00,9.4225,9.425,9.42,9.425,4007.0
2019-03-05 15:13:00,9.425,9.425,9.425,9.425,100.0
2019-03-05 15:14:00,9.42,9.42,9.42,9.42,1020.0
2019-03-05 15:15:00,9.425,9.425,9.425,9.425,1101.0
2019-03-05 15:18:00,9.42,9.42,9.42,9.42,103.0
2019-03-05 15:19:00,9.425,9.425,9.425,9.425,142.0
2019-03-05 15:20:00,9.425,9.425,9.425,9.425,100.0
2019-03-05 15:21:00,9.42,9.42,9.42,9.42,298.0
2019-03-05 15:25:00,9.42,9.42,9.42,9.42,102.0
2019-03-05 15:26:00,9.42,9.42,9.42,9.42,2305.0
2019-03-05 15:28:00,9.42,9.42,9.42,9.42,554.0
2019-03-05 15:29:00,9.425,9.425,9.425,9.425,457.0
2019-03-05 15:32:00,9.42,9.42,9.42,9.42,305.0
2019-03-05 15:36:00,9.425,9.425,9.425,9.425,310.0
2019-03-05 15:38:00,9.42,9.42,9.42,9.42,432.0
2019-03-05 15:40:00,9.42,9.42,9.42,9.42,410.0
2019-03-05 15:42:00,9.4225,9.425,9.4225,9.425,3714.0
2019-03-05 15:46:00,9.425,9.425,9.425,9.425,400.0
2019-03-05 15:47:00,9.42,9.42,9.42,9.42,218.0
2019-03-05 15:50:00,9.425,9.425,9.425,9.425,293.0
2019-03-05 15:51:00,9.425,9.425,9.425,9.425,400.0
2019-03-05 15:53:00,9.42,9.42,9.42,9.42,402.0
2019-03-05 15:54:00,9.42,9.42,9.42,9.42,340.0
2019-03-05 15:55:00,9.425,9.425,9.425,9.425,1748.0
2019-03-05 15:56:00,9.425,9.425,9.425,9.425,635.0
2019-03-05 15:57:00,9.42,9.42,9.42,9.42,1702.0
2019-03-05 15:58:00,9.425,9.425,9.425,9.425,1387.0
2019-03-05 15:59:00,9.43,9.43,9.43,9.43,945.0
2019-03-05 16:00:00,9.425,9.425,9.425,9.425,2333.0
2019-03-06 09:31:00,9.53,9.53,9.53,9.53,0.0
2019-03-06 09:34:00,9.2202,9.2202,9.2202,9.2202,3049.0
2019-03-06 09:43:00,9.3,9.3,9.3,9.3,1600.0
2019-03-06 09:47:00,9.315,9.315,9.315,9.315,101.0
2019-03-06 09:49:00,9.325,9.325,9.325,9.325,504.0
2019-03-06 09:51:00,9.3225,9.3225,9.3,9.3,3871.0
2019-03-06 10:03:00,9.24,9.24,9.24,9.24,136.0
2019-03-06 10:05:00,9.15,9.15,9.15,9.15,187.0
2019-03-06 10:11:00,9.175,9.175,9.175,9.175,100.0
2019-03-06 10:15:00,9.25,9.25,9.25,9.25,801.0
2019-03-06 10:20:00,9.18,9.18,9.18,9.18,1200.0
2019-03-06 10:21:00,9.25,9.25,9.225,9.225,3109.0
2019-03-06 10:26:00,9.22,9.22,9.22,9.22,911.0
2019-03-06 10:28:00,9.235,9.235,9.235,9.235,1251.0
2019-03-06 10:29:00,9.235,9.235,9.235,9.235,100.0
2019-03-06 10:30:00,9.21,9.21,9.21,9.21,1231.0
2019-03-06 10:36:00,9.0828,9.0828,9.0828,9.0828,322.0
2019-03-06 10:37:00,9.07,9.07,9.07,9.07,644.0
2019-03-06 10:38:00,9.07,9.07,9.07,9.07,0.0
2019-03-06 10:41:00,9.0,9.0,9.0,9.0,3984.0
2019-03-06 10:43:00,8.97,8.97,8.97,8.97,1120.0
2019-03-06 10:44:00,8.97,8.97,8.97,8.97,125.0
2019-03-06 10:47:00,9.0,9.0,9.0,9.0,874.0
2019-03-06 10:48:00,9.03,9.03,8.96,9.03,8279.0
2019-03-06 10:50:00,9.1736,9.1736,9.15,9.15,1200.0
2019-03-06 10:51:00,9.23,9.236,9.23,9.236,200.0
2019-03-06 11:04:00,9.14,9.14,9.14,9.14,6033.0
2019-03-06 11:10:00,9.125,9.125,9.125,9.125,100.0
2019-03-06 11:16:00,9.15,9.15,9.15,9.15,100.0
2019-03-06 11:18:00,9.185,9.185,9.185,9.185,2210.0
2019-03-06 11:19:00,9.16,9.16,9.16,9.16,600.0
2019-03-06 11:20:00,9.12,9.12,9.12,9.12,1273.0
